Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
204,FRS5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
205,FRS6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
206,FRS7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
207,FRS8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
208,FRS9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
209,FRS10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
210,FRS11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
211,FRS12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
212,FRS13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
213,FRS14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
214,GMRS1,462.550000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
215,GMRS2,462.575000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
216,GMRS3,462.600000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
217,GMRS4,462.625000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
218,GMRS5,462.650000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
219,GMRS6,462.675000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
220,GMRS7,462.700000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
221,GMRS8,462.725000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
222,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
223,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
224,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
225,BLUE D,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
226,GREEN,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
300,2M CAL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
301,220 CA,223.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
302,70CM C,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
400,MP-FDE,453.700000,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
401,MP-PD1,154.815000,,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
402,MP-PD2,155.570000,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
403,IR-FD,453.850000,,0.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
404,IR-FD2,453.075000,,0.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
405,IR-PD1,851.125000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,,,,,,
406,IR-PD2,853.687500,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,,,,,,
407,SO-FD1,151.405000,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
408,SO-FD3,154.145000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
409,SO-EM1,155.220000,,0.000000,DTCS,88.5,88.5,143,NN,NFM,5.00,,,,,,
410,SO-EM2,155.220000,,0.000000,DTCS,88.5,88.5,043,NN,NFM,5.00,,,,,,
411,SO-EM3,155.220000,,0.000000,DTCS,88.5,88.5,503,NN,NFM,5.00,,,,,,
412,SO-PD,155.595000,,0.000000,Tone,179.9,88.5,023,NN,NFM,5.00,,,,,,
